Step,Sequence,Combination Value
230,"[ -1 5 10 0 0 0 ]",14
231,"[ -1 5 10 0 0 1 ]",15
232,"[ -1 5 10 0 5 -1 ]",18
233,"[ -1 5 10 0 5 0 ]",19
234,"[ -1 5 10 0 5 1 ]",20
235,"[ -1 5 10 10 -5 -1 ]",18
236,"[ -1 5 10 10 -5 0 ]",19
237,"[ -1 5 10 10 -5 1 ]",20
238,"[ -1 5 10 10 0 -1 ]",23
239,"[ -1 5 10 10 0 0 ]",24
240,"[ -1 5 10 10 0 1 ]",25
241,"[ -1 5 10 10 5 -1 ]",28
242,"[ -1 5 10 10 5 0 ]",29
243,"[ -1 5 10 10 5 1 ]",30
244,"[ 0 -5 -10 -10 -5 -1 ]",-31
245,"[ 0 -5 -10 -10 -5 0 ]",-30
246,"[ 0 -5 -10 -10 -5 1 ]",-29
247,"[ 0 -5 -10 -10 0 -1 ]",-26
248,"[ 0 -5 -10 -10 0 0 ]",-25
249,"[ 0 -5 -10 -10 0 1 ]",-24
250,"[ 0 -5 -10 -10 5 -1 ]",-21
251,"[ 0 -5 -10 -10 5 0 ]",-20
252,"[ 0 -5 -10 -10 5 1 ]",-19
253,"[ 0 -5 -10 0 -5 -1 ]",-21
254,"[ 0 -5 -10 0 -5 0 ]",-20
255,"[ 0 -5 -10 0 -5 1 ]",-19
256,"[ 0 -5 -10 0 0 -1 ]",-16
257,"[ 0 -5 -10 0 0 0 ]",-15
258,"[ 0 -5 -10 0 0 1 ]",-14
259,"[ 0 -5 -10 0 5 -1 ]",-11
260,"[ 0 -5 -10 0 5 0 ]",-10
261,"[ 0 -5 -10 0 5 1 ]",-9
262,"[ 0 -5 -10 10 -5 -1 ]",-11
263,"[ 0 -5 -10 10 -5 0 ]",-10
264,"[ 0 -5 -10 10 -5 1 ]",-9
265,"[ 0 -5 -10 10 0 -1 ]",-6
266,"[ 0 -5 -10 10 0 0 ]",-5
267,"[ 0 -5 -10 10 0 1 ]",-4
268,"[ 0 -5 -10 10 5 -1 ]",-1
269,"[ 0 -5 -10 10 5 0 ]",0
270,"[ 0 -5 -10 10 5 1 ]",1
271,"[ 0 -5 0 -10 -5 -1 ]",-21
272,"[ 0 -5 0 -10 -5 0 ]",-20
273,"[ 0 -5 0 -10 -5 1 ]",-19
274,"[ 0 -5 0 -10 0 -1 ]",-16
275,"[ 0 -5 0 -10 0 0 ]",-15
276,"[ 0 -5 0 -10 0 1 ]",-14
277,"[ 0 -5 0 -10 5 -1 ]",-11
278,"[ 0 -5 0 -10 5 0 ]",-10
279,"[ 0 -5 0 -10 5 1 ]",-9
280,"[ 0 -5 0 0 -5 -1 ]",-11
281,"[ 0 -5 0 0 -5 0 ]",-10
282,"[ 0 -5 0 0 -5 1 ]",-9
283,"[ 0 -5 0 0 0 -1 ]",-6
284,"[ 0 -5 0 0 0 0 ]",-5
285,"[ 0 -5 0 0 0 1 ]",-4
286,"[ 0 -5 0 0 5 -1 ]",-1
287,"[ 0 -5 0 0 5 0 ]",0
288,"[ 0 -5 0 0 5 1 ]",1
289,"[ 0 -5 0 10 -5 -1 ]",-1
290,"[ 0 -5 0 10 -5 0 ]",0
291,"[ 0 -5 0 10 -5 1 ]",1
292,"[ 0 -5 0 10 0 -1 ]",4
293,"[ 0 -5 0 10 0 0 ]",5
294,"[ 0 -5 0 10 0 1 ]",6
295,"[ 0 -5 0 10 5 -1 ]",9
296,"[ 0 -5 0 10 5 0 ]",10
297,"[ 0 -5 0 10 5 1 ]",11
298,"[ 0 -5 10 -10 -5 -1 ]",-11
299,"[ 0 -5 10 -10 -5 0 ]",-10
300,"[ 0 -5 10 -10 -5 1 ]",-9
301,"[ 0 -5 10 -10 0 -1 ]",-6
302,"[ 0 -5 10 -10 0 0 ]",-5
303,"[ 0 -5 10 -10 0 1 ]",-4
304,"[ 0 -5 10 -10 5 -1 ]",-1
305,"[ 0 -5 10 -10 5 0 ]",0
306,"[ 0 -5 10 -10 5 1 ]",1
307,"[ 0 -5 10 0 -5 -1 ]",-1
308,"[ 0 -5 10 0 -5 0 ]",0
309,"[ 0 -5 10 0 -5 1 ]",1
310,"[ 0 -5 10 0 0 -1 ]",4
311,"[ 0 -5 10 0 0 0 ]",5
312,"[ 0 -5 10 0 0 1 ]",6
313,"[ 0 -5 10 0 5 -1 ]",9
314,"[ 0 -5 10 0 5 0 ]",10
315,"[ 0 -5 10 0 5 1 ]",11
316,"[ 0 -5 10 10 -5 -1 ]",9
317,"[ 0 -5 10 10 -5 0 ]",10
318,"[ 0 -5 10 10 -5 1 ]",11
319,"[ 0 -5 10 10 0 -1 ]",14
320,"[ 0 -5 10 10 0 0 ]",15
321,"[ 0 -5 10 10 0 1 ]",16
322,"[ 0 -5 10 10 5 -1 ]",19
323,"[ 0 -5 10 10 5 0 ]",20
324,"[ 0 -5 10 10 5 1 ]",21
325,"[ 0 0 -10 -10 -5 -1 ]",-26
326,"[ 0 0 -10 -10 -5 0 ]",-25
327,"[ 0 0 -10 -10 -5 1 ]",-24
328,"[ 0 0 -10 -10 0 -1 ]",-21
329,"[ 0 0 -10 -10 0 0 ]",-20
330,"[ 0 0 -10 -10 0 1 ]",-19
331,"[ 0 0 -10 -10 5 -1 ]",-16
332,"[ 0 0 -10 -10 5 0 ]",-15
333,"[ 0 0 -10 -10 5 1 ]",-14
334,"[ 0 0 -10 0 -5 -1 ]",-16
335,"[ 0 0 -10 0 -5 0 ]",-15
336,"[ 0 0 -10 0 -5 1 ]",-14
337,"[ 0 0 -10 0 0 -1 ]",-11
338,"[ 0 0 -10 0 0 0 ]",-10
339,"[ 0 0 -10 0 0 1 ]",-9
340,"[ 0 0 -10 0 5 -1 ]",-6
341,"[ 0 0 -10 0 5 0 ]",-5
342,"[ 0 0 -10 0 5 1 ]",-4
