Step,Sequence,Sum,Choices
55079,"[ 1 9 0 -84 0 0 84 36 9 0 ]",55,"+ + 0 - 0 0 + + + 0 "
55241,"[ 1 9 0 -84 126 -126 84 36 9 0 ]",55,"+ + 0 - + - + + + 0 "
55619,"[ 1 9 0 0 -126 126 0 36 9 0 ]",55,"+ + 0 0 - + 0 + + 0 "
55781,"[ 1 9 0 0 0 0 0 36 9 0 ]",55,"+ + 0 0 0 0 0 + + 0 "
55943,"[ 1 9 0 0 126 -126 0 36 9 0 ]",55,"+ + 0 0 + - 0 + + 0 "
56321,"[ 1 9 0 84 -126 126 -84 36 9 0 ]",55,"+ + 0 + - + - + + 0 "
56483,"[ 1 9 0 84 0 0 -84 36 9 0 ]",55,"+ + 0 + 0 0 - + + 0 "
56645,"[ 1 9 0 84 126 -126 -84 36 9 0 ]",55,"+ + 0 + + - - + + 0 "
57095,"[ 1 9 36 -84 -126 126 84 0 9 0 ]",55,"+ + + - - + + 0 + 0 "
57257,"[ 1 9 36 -84 0 0 84 0 9 0 ]",55,"+ + + - 0 0 + 0 + 0 "
57419,"[ 1 9 36 -84 126 -126 84 0 9 0 ]",55,"+ + + - + - + 0 + 0 "
57797,"[ 1 9 36 0 -126 126 0 0 9 0 ]",55,"+ + + 0 - + 0 0 + 0 "
57959,"[ 1 9 36 0 0 0 0 0 9 0 ]",55,"+ + + 0 0 0 0 0 + 0 "
58121,"[ 1 9 36 0 126 -126 0 0 9 0 ]",55,"+ + + 0 + - 0 0 + 0 "
58499,"[ 1 9 36 84 -126 126 -84 0 9 0 ]",55,"+ + + + - + - 0 + 0 "
58661,"[ 1 9 36 84 0 0 -84 0 9 0 ]",55,"+ + + + 0 0 - 0 + 0 "
58823,"[ 1 9 36 84 126 -126 -84 0 9 0 ]",55,"+ + + + + - - 0 + 0 "
