Step,Sequence,Sum,Choices
77018,"[ 1 -10 0 0 -210 252 0 0 45 10 1 ]",89,"+ - 0 0 - + 0 0 + + + "
77522,"[ 1 -10 0 0 210 252 -210 -120 -45 10 1 ]",89,"+ - 0 0 + + - - - + + "
78314,"[ 1 -10 0 0 0 252 -210 0 45 10 1 ]",89,"+ - 0 0 0 + - 0 + + + "
78413,"[ 1 -10 0 0 0 252 0 -120 -45 10 1 ]",89,"+ - 0 0 0 + 0 - - + + "
79130,"[ 1 10 -45 -120 -210 252 210 0 0 -10 1 ]",89,"+ + - - - + + 0 0 - + "
79578,"[ 1 10 -45 -120 210 -252 210 120 -45 0 0 ]",89,"+ + - - + - + + - 0 0 "
79778,"[ 1 10 -45 -120 210 252 -210 0 0 -10 1 ]",89,"+ + - - + + - 0 0 - + "
80669,"[ 1 10 -45 -120 0 252 0 0 0 -10 1 ]",89,"+ + - - 0 + 0 0 0 - + "
81738,"[ 1 10 -45 120 210 -252 210 -120 -45 0 0 ]",89,"+ + - + + - + - - 0 0 "
81882,"[ 1 10 -45 120 210 -252 0 0 45 0 0 ]",89,"+ + - + + - 0 0 + 0 0 "
82530,"[ 1 10 -45 120 0 -252 210 0 45 0 0 ]",89,"+ + - + 0 - + 0 + 0 0 "
83450,"[ 1 10 -45 0 -210 252 210 -120 0 -10 1 ]",89,"+ + - 0 - + + - 0 - + "
83979,"[ 1 10 -45 0 210 -252 210 0 -45 0 0 ]",89,"+ + - 0 + - + 0 - 0 0 "
84042,"[ 1 10 -45 0 210 -252 0 120 45 0 0 ]",89,"+ + - 0 + - 0 + + 0 0 "
84098,"[ 1 10 -45 0 210 252 -210 -120 0 -10 1 ]",89,"+ + - 0 + + - - 0 - + "
84690,"[ 1 10 -45 0 0 -252 210 120 45 0 0 ]",89,"+ + - 0 0 - + + + 0 0 "
84989,"[ 1 10 -45 0 0 252 0 -120 0 -10 1 ]",89,"+ + - 0 0 + 0 - 0 - + "
85745,"[ 1 10 45 -120 -210 252 0 120 0 -10 1 ]",89,"+ + + - - + 0 + 0 - + "
87041,"[ 1 10 45 -120 0 252 -210 120 0 -10 1 ]",89,"+ + + - 0 + - + 0 - + "
87606,"[ 1 10 45 120 -210 -252 210 120 45 0 0 ]",89,"+ + + + - - + + + 0 0 "
87905,"[ 1 10 45 120 -210 252 0 -120 0 -10 1 ]",89,"+ + + + - + 0 - 0 - + "
88254,"[ 1 10 45 120 210 -252 -210 120 45 0 0 ]",89,"+ + + + + - - + + 0 0 "
88434,"[ 1 10 45 120 210 -252 0 0 -45 0 0 ]",89,"+ + + + + - 0 0 - 0 0 "
89082,"[ 1 10 45 120 0 -252 210 0 -45 0 0 ]",89,"+ + + + 0 - + 0 - 0 0 "
89145,"[ 1 10 45 120 0 -252 0 120 45 0 0 ]",89,"+ + + + 0 - 0 + + 0 0 "
89201,"[ 1 10 45 120 0 252 -210 -120 0 -10 1 ]",89,"+ + + + 0 + - - 0 - + "
90146,"[ 1 10 45 0 -210 252 0 0 0 -10 1 ]",89,"+ + + 0 - + 0 0 0 - + "
90594,"[ 1 10 45 0 210 -252 0 120 -45 0 0 ]",89,"+ + + 0 + - 0 + - 0 0 "
91242,"[ 1 10 45 0 0 -252 210 120 -45 0 0 ]",89,"+ + + 0 0 - + + - 0 0 "
91442,"[ 1 10 45 0 0 252 -210 0 0 -10 1 ]",89,"+ + + 0 0 + - 0 0 - + "
92234,"[ 1 10 0 -120 -210 252 210 0 -45 -10 1 ]",89,"+ + 0 - - + + 0 - - + "
92297,"[ 1 10 0 -120 -210 252 0 120 45 -10 1 ]",89,"+ + 0 - - + 0 + + - + "
92882,"[ 1 10 0 -120 210 252 -210 0 -45 -10 1 ]",89,"+ + 0 - + + - 0 - - + "
93593,"[ 1 10 0 -120 0 252 -210 120 45 -10 1 ]",89,"+ + 0 - 0 + - + + - + "
93773,"[ 1 10 0 -120 0 252 0 0 -45 -10 1 ]",89,"+ + 0 - 0 + 0 0 - - + "
94457,"[ 1 10 0 120 -210 252 0 -120 45 -10 1 ]",89,"+ + 0 + - + 0 - + - + "
95013,"[ 1 10 0 120 210 -252 0 0 0 0 0 ]",89,"+ + 0 + + - 0 0 0 0 0 "
95661,"[ 1 10 0 120 0 -252 210 0 0 0 0 ]",89,"+ + 0 + 0 - + 0 0 0 0 "
95753,"[ 1 10 0 120 0 252 -210 -120 45 -10 1 ]",89,"+ + 0 + 0 + - - + - + "
96554,"[ 1 10 0 0 -210 252 210 -120 -45 -10 1 ]",89,"+ + 0 0 - + + - - - + "
96698,"[ 1 10 0 0 -210 252 0 0 45 -10 1 ]",89,"+ + 0 0 - + 0 0 + - + "
97173,"[ 1 10 0 0 210 -252 0 120 0 0 0 ]",89,"+ + 0 0 + - 0 + 0 0 0 "
97202,"[ 1 10 0 0 210 252 -210 -120 -45 -10 1 ]",89,"+ + 0 0 + + - - - - + "
97821,"[ 1 10 0 0 0 -252 210 120 0 0 0 ]",89,"+ + 0 0 0 - + + 0 0 0 "
97994,"[ 1 10 0 0 0 252 -210 0 45 -10 1 ]",89,"+ + 0 0 0 + - 0 + - + "
98093,"[ 1 10 0 0 0 252 0 -120 -45 -10 1 ]",89,"+ + 0 0 0 + 0 - - - + "
98819,"[ 1 0 -45 -120 -210 252 210 0 0 0 1 ]",89,"+ 0 - - - + + 0 0 0 + "
99258,"[ 1 0 -45 -120 210 -252 210 120 -45 10 0 ]",89,"+ 0 - - + - + + - + 0 "
99467,"[ 1 0 -45 -120 210 252 -210 0 0 0 1 ]",89,"+ 0 - - + + - 0 0 0 + "
100358,"[ 1 0 -45 -120 0 252 0 0 0 0 1 ]",89,"+ 0 - - 0 + 0 0 0 0 + "
101418,"[ 1 0 -45 120 210 -252 210 -120 -45 10 0 ]",89,"+ 0 - + + - + - - + 0 "
101562,"[ 1 0 -45 120 210 -252 0 0 45 10 0 ]",89,"+ 0 - + + - 0 0 + + 0 "
102210,"[ 1 0 -45 120 0 -252 210 0 45 10 0 ]",89,"+ 0 - + 0 - + 0 + + 0 "
103139,"[ 1 0 -45 0 -210 252 210 -120 0 0 1 ]",89,"+ 0 - 0 - + + - 0 0 + "
103659,"[ 1 0 -45 0 210 -252 210 0 -45 10 0 ]",89,"+ 0 - 0 + - + 0 - + 0 "
103722,"[ 1 0 -45 0 210 -252 0 120 45 10 0 ]",89,"+ 0 - 0 + - 0 + + + 0 "
103787,"[ 1 0 -45 0 210 252 -210 -120 0 0 1 ]",89,"+ 0 - 0 + + - - 0 0 + "
104370,"[ 1 0 -45 0 0 -252 210 120 45 10 0 ]",89,"+ 0 - 0 0 - + + + + 0 "
104678,"[ 1 0 -45 0 0 252 0 -120 0 0 1 ]",89,"+ 0 - 0 0 + 0 - 0 0 + "
105434,"[ 1 0 45 -120 -210 252 0 120 0 0 1 ]",89,"+ 0 + - - + 0 + 0 0 + "
106730,"[ 1 0 45 -120 0 252 -210 120 0 0 1 ]",89,"+ 0 + - 0 + - + 0 0 + "
107286,"[ 1 0 45 120 -210 -252 210 120 45 10 0 ]",89,"+ 0 + + - - + + + + 0 "
107594,"[ 1 0 45 120 -210 252 0 -120 0 0 1 ]",89,"+ 0 + + - + 0 - 0 0 + "
107934,"[ 1 0 45 120 210 -252 -210 120 45 10 0 ]",89,"+ 0 + + + - - + + + 0 "
108114,"[ 1 0 45 120 210 -252 0 0 -45 10 0 ]",89,"+ 0 + + + - 0 0 - + 0 "
108762,"[ 1 0 45 120 0 -252 210 0 -45 10 0 ]",89,"+ 0 + + 0 - + 0 - + 0 "
108825,"[ 1 0 45 120 0 -252 0 120 45 10 0 ]",89,"+ 0 + + 0 - 0 + + + 0 "
108890,"[ 1 0 45 120 0 252 -210 -120 0 0 1 ]",89,"+ 0 + + 0 + - - 0 0 + "
109835,"[ 1 0 45 0 -210 252 0 0 0 0 1 ]",89,"+ 0 + 0 - + 0 0 0 0 + "
110274,"[ 1 0 45 0 210 -252 0 120 -45 10 0 ]",89,"+ 0 + 0 + - 0 + - + 0 "
110922,"[ 1 0 45 0 0 -252 210 120 -45 10 0 ]",89,"+ 0 + 0 0 - + + - + 0 "
111131,"[ 1 0 45 0 0 252 -210 0 0 0 1 ]",89,"+ 0 + 0 0 + - 0 0 0 + "
111923,"[ 1 0 0 -120 -210 252 210 0 -45 0 1 ]",89,"+ 0 0 - - + + 0 - 0 + "
111986,"[ 1 0 0 -120 -210 252 0 120 45 0 1 ]",89,"+ 0 0 - - + 0 + + 0 + "
112571,"[ 1 0 0 -120 210 252 -210 0 -45 0 1 ]",89,"+ 0 0 - + + - 0 - 0 + "
113282,"[ 1 0 0 -120 0 252 -210 120 45 0 1 ]",89,"+ 0 0 - 0 + - + + 0 + "
113462,"[ 1 0 0 -120 0 252 0 0 -45 0 1 ]",89,"+ 0 0 - 0 + 0 0 - 0 + "
114146,"[ 1 0 0 120 -210 252 0 -120 45 0 1 ]",89,"+ 0 0 + - + 0 - + 0 + "
114693,"[ 1 0 0 120 210 -252 0 0 0 10 0 ]",89,"+ 0 0 + + - 0 0 0 + 0 "
115341,"[ 1 0 0 120 0 -252 210 0 0 10 0 ]",89,"+ 0 0 + 0 - + 0 0 + 0 "
115442,"[ 1 0 0 120 0 252 -210 -120 45 0 1 ]",89,"+ 0 0 + 0 + - - + 0 + "
116243,"[ 1 0 0 0 -210 252 210 -120 -45 0 1 ]",89,"+ 0 0 0 - + + - - 0 + "
116387,"[ 1 0 0 0 -210 252 0 0 45 0 1 ]",89,"+ 0 0 0 - + 0 0 + 0 + "
116853,"[ 1 0 0 0 210 -252 0 120 0 10 0 ]",89,"+ 0 0 0 + - 0 + 0 + 0 "
116891,"[ 1 0 0 0 210 252 -210 -120 -45 0 1 ]",89,"+ 0 0 0 + + - - - 0 + "
117501,"[ 1 0 0 0 0 -252 210 120 0 10 0 ]",89,"+ 0 0 0 0 - + + 0 + 0 "
117683,"[ 1 0 0 0 0 252 -210 0 45 0 1 ]",89,"+ 0 0 0 0 + - 0 + 0 + "
117782,"[ 1 0 0 0 0 252 0 -120 -45 0 1 ]",89,"+ 0 0 0 0 + 0 - - 0 + "
119398,"[ 0 -10 -45 -120 210 0 210 -120 -45 10 -1 ]",89,"0 - - - + 0 + - - + - "
119542,"[ 0 -10 -45 -120 210 0 0 0 45 10 -1 ]",89,"0 - - - + 0 0 0 + + - "
120190,"[ 0 -10 -45 -120 0 0 210 0 45 10 -1 ]",89,"0 - - - 0 0 + 0 + + - "
121205,"[ 0 -10 -45 120 210 -252 0 120 -45 -10 1 ]",89,"0 - - + + - 0 + - - + "
121853,"[ 0 -10 -45 120 0 -252 210 120 -45 -10 1 ]",89,"0 - - + 0 - + + - - + "
123862,"[ 0 -10 -45 0 210 0 0 -120 45 10 -1 ]",89,"0 - - 0 + 0 0 - + + - "
124510,"[ 0 -10 -45 0 0 0 210 -120 45 10 -1 ]",89,"0 - - 0 0 0 + - + + - "
125266,"[ 0 -10 45 -120 -210 0 210 120 45 10 -1 ]",89,"0 - + - - 0 + + + + - "
125914,"[ 0 -10 45 -120 210 0 -210 120 45 10 -1 ]",89,"0 - + - + 0 - + + + - "
126094,"[ 0 -10 45 -120 210 0 0 0 -45 10 -1 ]",89,"0 - + - + 0 0 0 - + - "
126742,"[ 0 -10 45 -120 0 0 210 0 -45 10 -1 ]",89,"0 - + - 0 0 + 0 - + - "
126805,"[ 0 -10 45 -120 0 0 0 120 45 10 -1 ]",89,"0 - + - 0 0 0 + + + - "
127426,"[ 0 -10 45 120 -210 0 210 -120 45 10 -1 ]",89,"0 - + + - 0 + - + + - "
128074,"[ 0 -10 45 120 210 0 -210 -120 45 10 -1 ]",89,"0 - + + + 0 - - + + - "
128965,"[ 0 -10 45 120 0 0 0 -120 45 10 -1 ]",89,"0 - + + 0 0 0 - + + - "
129667,"[ 0 -10 45 0 -210 0 210 0 45 10 -1 ]",89,"0 - + 0 - 0 + 0 + + - "
130315,"[ 0 -10 45 0 210 0 -210 0 45 10 -1 ]",89,"0 - + 0 + 0 - 0 + + - "
130414,"[ 0 -10 45 0 210 0 0 -120 -45 10 -1 ]",89,"0 - + 0 + 0 0 - - + - "
131062,"[ 0 -10 45 0 0 0 210 -120 -45 10 -1 ]",89,"0 - + 0 0 0 + - - + - "
131206,"[ 0 -10 45 0 0 0 0 0 45 10 -1 ]",89,"0 - + 0 0 0 0 0 + + - "
132673,"[ 0 -10 0 -120 210 0 0 0 0 10 -1 ]",89,"0 - 0 - + 0 0 0 0 + - "
133321,"[ 0 -10 0 -120 0 0 210 0 0 10 -1 ]",89,"0 - 0 - 0 0 + 0 0 + - "
136993,"[ 0 -10 0 0 210 0 0 -120 0 10 -1 ]",89,"0 - 0 0 + 0 0 - 0 + - "
137641,"[ 0 -10 0 0 0 0 210 -120 0 10 -1 ]",89,"0 - 0 0 0 0 + - 0 + - "
138626,"[ 0 10 -45 -120 210 -252 210 120 -45 0 1 ]",89,"0 + - - + - + + - 0 + "
139078,"[ 0 10 -45 -120 210 0 210 -120 -45 -10 -1 ]",89,"0 + - - + 0 + - - - - "
139222,"[ 0 10 -45 -120 210 0 0 0 45 -10 -1 ]",89,"0 + - - + 0 0 0 + - - "
139870,"[ 0 10 -45 -120 0 0 210 0 45 -10 -1 ]",89,"0 + - - 0 0 + 0 + - - "
140786,"[ 0 10 -45 120 210 -252 210 -120 -45 0 1 ]",89,"0 + - + + - + - - 0 + "
140930,"[ 0 10 -45 120 210 -252 0 0 45 0 1 ]",89,"0 + - + + - 0 0 + 0 + "
141578,"[ 0 10 -45 120 0 -252 210 0 45 0 1 ]",89,"0 + - + 0 - + 0 + 0 + "
143027,"[ 0 10 -45 0 210 -252 210 0 -45 0 1 ]",89,"0 + - 0 + - + 0 - 0 + "
143090,"[ 0 10 -45 0 210 -252 0 120 45 0 1 ]",89,"0 + - 0 + - 0 + + 0 + "
143542,"[ 0 10 -45 0 210 0 0 -120 45 -10 -1 ]",89,"0 + - 0 + 0 0 - + - - "
143738,"[ 0 10 -45 0 0 -252 210 120 45 0 1 ]",89,"0 + - 0 0 - + + + 0 + "
144190,"[ 0 10 -45 0 0 0 210 -120 45 -10 -1 ]",89,"0 + - 0 0 0 + - + - - "
144946,"[ 0 10 45 -120 -210 0 210 120 45 -10 -1 ]",89,"0 + + - - 0 + + + - - "
145594,"[ 0 10 45 -120 210 0 -210 120 45 -10 -1 ]",89,"0 + + - + 0 - + + - - "
145774,"[ 0 10 45 -120 210 0 0 0 -45 -10 -1 ]",89,"0 + + - + 0 0 0 - - - "
146422,"[ 0 10 45 -120 0 0 210 0 -45 -10 -1 ]",89,"0 + + - 0 0 + 0 - - - "
146485,"[ 0 10 45 -120 0 0 0 120 45 -10 -1 ]",89,"0 + + - 0 0 0 + + - - "
146654,"[ 0 10 45 120 -210 -252 210 120 45 0 1 ]",89,"0 + + + - - + + + 0 + "
147106,"[ 0 10 45 120 -210 0 210 -120 45 -10 -1 ]",89,"0 + + + - 0 + - + - - "
147302,"[ 0 10 45 120 210 -252 -210 120 45 0 1 ]",89,"0 + + + + - - + + 0 + "
147482,"[ 0 10 45 120 210 -252 0 0 -45 0 1 ]",89,"0 + + + + - 0 0 - 0 + "
147754,"[ 0 10 45 120 210 0 -210 -120 45 -10 -1 ]",89,"0 + + + + 0 - - + - - "
148130,"[ 0 10 45 120 0 -252 210 0 -45 0 1 ]",89,"0 + + + 0 - + 0 - 0 + "
148193,"[ 0 10 45 120 0 -252 0 120 45 0 1 ]",89,"0 + + + 0 - 0 + + 0 + "
148645,"[ 0 10 45 120 0 0 0 -120 45 -10 -1 ]",89,"0 + + + 0 0 0 - + - - "
149347,"[ 0 10 45 0 -210 0 210 0 45 -10 -1 ]",89,"0 + + 0 - 0 + 0 + - - "
149642,"[ 0 10 45 0 210 -252 0 120 -45 0 1 ]",89,"0 + + 0 + - 0 + - 0 + "
149995,"[ 0 10 45 0 210 0 -210 0 45 -10 -1 ]",89,"0 + + 0 + 0 - 0 + - - "
150094,"[ 0 10 45 0 210 0 0 -120 -45 -10 -1 ]",89,"0 + + 0 + 0 0 - - - - "
150290,"[ 0 10 45 0 0 -252 210 120 -45 0 1 ]",89,"0 + + 0 0 - + + - 0 + "
150742,"[ 0 10 45 0 0 0 210 -120 -45 -10 -1 ]",89,"0 + + 0 0 0 + - - - - "
150886,"[ 0 10 45 0 0 0 0 0 45 -10 -1 ]",89,"0 + + 0 0 0 0 0 + - - "
152353,"[ 0 10 0 -120 210 0 0 0 0 -10 -1 ]",89,"0 + 0 - + 0 0 0 0 - - "
153001,"[ 0 10 0 -120 0 0 210 0 0 -10 -1 ]",89,"0 + 0 - 0 0 + 0 0 - - "
154061,"[ 0 10 0 120 210 -252 0 0 0 0 1 ]",89,"0 + 0 + + - 0 0 0 0 + "
154709,"[ 0 10 0 120 0 -252 210 0 0 0 1 ]",89,"0 + 0 + 0 - + 0 0 0 + "
156221,"[ 0 10 0 0 210 -252 0 120 0 0 1 ]",89,"0 + 0 0 + - 0 + 0 0 + "
156673,"[ 0 10 0 0 210 0 0 -120 0 -10 -1 ]",89,"0 + 0 0 + 0 0 - 0 - - "
156869,"[ 0 10 0 0 0 -252 210 120 0 0 1 ]",89,"0 + 0 0 0 - + + 0 0 + "
157321,"[ 0 10 0 0 0 0 210 -120 0 -10 -1 ]",89,"0 + 0 0 0 0 + - 0 - - "
158306,"[ 0 0 -45 -120 210 -252 210 120 -45 10 1 ]",89,"0 0 - - + - + + - + + "
158767,"[ 0 0 -45 -120 210 0 210 -120 -45 0 -1 ]",89,"0 0 - - + 0 + - - 0 - "
